Date reported to Alberta Health,Number of lab tests,Cumulative number of lab tests,Number of cases,Cumulative number of cases,Cumulative number of deaths,Number of deaths,Percent positivity
2020-03-06,60,511,0,0,0,0,5
2020-03-07,281,792,1,2,0,0,0
2020-03-08,454,1246,1,3,0,0,0
2020-03-09,643,1889,4,7,0,0,1.71
2020-03-10,784,2673,9,16,0,0,1.91
2020-03-11,1334,4007,7,23,0,0,0.6
2020-03-12,1147,5154,3,26,0,0,0.26
2020-03-13,1587,6741,8,34,0,0,1.2
2020-03-14,1555,8296,22,56,0,0,1.93
2020-03-15,1834,10130,11,67,0,0,0.87
2020-03-16,1485,11615,24,91,0,0,2.63
2020-03-17,2083,13698,11,102,0,0,0.48
2020-03-18,2878,16576,29,131,1,1,1.88
2020-03-19,2869,19445,32,163,1,0,1.67
2020-03-20,3593,23038,46,209,1,0,1.64
2020-03-21,3507,26545,35,244,1,0,1.17
2020-03-22,2854,29399,47,291,1,0,1.26
2020-03-23,2728,32127,53,344,1,0,1.65
2020-03-24,3143,35270,68,412,1,0,1.81
2020-03-25,1645,36915,63,475,1,0,3.65
2020-03-26,1316,38231,53,528,1,0,2.74
2020-03-27,3697,41928,85,613,1,0,2.41
2020-03-28,2145,44073,54,667,1,0,2
2020-03-29,1929,46002,34,701,5,4,0.98
2020-03-30,2549,48551,40,741,10,5,1.18
2020-03-31,4770,53321,132,873,11,1,2.56
2020-04-01,3610,56931,108,981,12,1,2.3
2020-04-02,4009,60940,122,1103,15,3,2.34
2020-04-03,1723,62663,70,1173,18,3,2.44
2020-04-04,1807,64470,60,1233,23,5,2.6
2020-04-05,1185,65655,42,1275,25,2,3.21
2020-04-06,941,66596,34,1309,28,3,2.66
2020-04-07,1705,68301,53,1362,28,0,2.29
2020-04-08,1288,69589,33,1395,32,4,2.17
2020-04-09,2291,71880,45,1440,36,4,1.48
2020-04-10,2851,74731,49,1489,40,4,1.4
2020-04-11,2240,76971,65,1554,45,5,2.14
